StoreStatus	store_status	store_status,execute_store_v1
InitializeStore	initialize_store	initialize_store,execute_store_v1
PublishFileObjectV1	publish_file_object_v1	publish_file_object_v1
PublishSymlinkObjectV1	publish_symlink_object_v1	publish_symlink_object_v1
PublishTreeObjectV1	publish_tree_object_v1	publish_tree_object_v1
LoadFileObjectV1	load_file_object_v1	load_file_object_v1
LoadSymlinkObjectV1	load_symlink_object_v1	load_symlink_object_v1
LoadTreeObjectV1	load_tree_object_v1	load_tree_object_v1
DecodeAndPublishArchiveV1	decode_and_publish_archive_v1	decode_and_publish_archive_v1
PublishPackObjectV1	publish_pack_object_v1	publish_pack_object_v1
CaptureLocalPackV1	capture_local_pack_v1	capture_and_publish_local_pack_v1
AcquireGitPackV1	acquire_git_pack_v1	acquire_and_publish_git_pack_v1
AcquireLocalGraphV1	acquire_local_graph_v1	acquire_locked_local_graph_v1
AcquireGraphV1	acquire_graph_v1	acquire_locked_graph_v1
CreateLockV1	create_lock_v1	create_lock_v1
UpdateLockV1	update_lock_v1	update_lock_v1
LoadPackObjectV1	load_pack_object_v1	load_pack_object_v1
AssembleCachedGraphV1	assemble_cached_graph_v1	assemble_cached_pack_graph_v1
PrepareV1	prepare_v1	prepare_v1
InspectPlanV1	inspect_plan_v1	plan_v1,inspect_prepared_plan_v1
InspectPlanIndexV1	inspect_plan_index_v1	list_plans_v1
InspectArtifactMetadataV1	inspect_artifact_metadata_v1	inspect_artifact_metadata_v1
InspectCapturedInputsV1	inspect_captured_inputs_v1	inspect_captured_inputs_v1
InspectTransformProvenanceV1	inspect_transform_provenance_v1	inspect_transform_provenance_v1
LoadArtifactV1	load_artifact_v1	artifact_v1,inspect_artifact_bytes_v1
PrepareStaticProfileV1	prepare_static_profile_v1	prepare_static_profile_v1
PrepareStaticDeploymentV1	prepare_static_deployment_v1	prepare_static_deployment_v1
PrepareTrackedRootV1	prepare_tracked_root_v1	prepare_tracked_root_v1,prepare_tracked_deployment_v1
UpdateTrackedRootV1	update_tracked_root_v1	update_v1,update_tracked_root_v1
PrepareProfileSwitchV1	prepare_profile_switch_v1	prepare_profile_switch_v1
PrepareCheckoutV1	prepare_checkout_v1	prepare_checkout_v1
PrepareDisableV1	prepare_disable_v1	prepare_disable_v1
PrepareEnableV1	prepare_enable_v1	prepare_enable_v1
PrepareNamespaceRemovalV1	prepare_namespace_removal_v1	prepare_namespace_removal_v1
PrepareRetentionAuthorityV1	prepare_retention_authority_v1	prepare_history_retention_v1,prepare_pin_v1,prepare_unpin_v1,prepare_restore_point_v1,prepare_drop_restore_point_v1
CommitV1	commit_v1	commit_v1
RecoverV1	recover_v1	recover_v1
InspectStateV1	inspect_state_v1	inspect_state_v1
InspectCatalogV1	inspect_catalog_v1	inspect_catalog_v1
InspectNamespaceV1	inspect_namespace_v1	inspect_namespace_v1
InspectNamespaceHistoryV1	inspect_namespace_history_v1	inspect_namespace_history_v1
InspectGenerationInventoryV1	inspect_generation_inventory_v1	inspect_generation_inventory_v1
InspectGenerationV1	inspect_generation_v1	inspect_generation_details_v1
InspectDesiredSnapshotV1	inspect_desired_snapshot_v1	inspect_desired_snapshot_v1
InspectCanonicalTreeV1	inspect_canonical_tree_v1	inspect_canonical_tree_v1
InspectObjectInventoryV1	inspect_object_inventory_v1	inspect_object_inventory_v1
InspectRetentionV1	inspect_retention_v1	inspect_retention_authority_v1
InspectTrackingV1	inspect_tracking_v1	inspect_tracking_v1
FsckV1	fsck_v1	fsck_v1
InspectNamespaceStatusV1	inspect_namespace_status_v1	inspect_namespace_status_v1
PruneV1	prune_v1	prune_v1,preview_prune_v1
