StoreStatus	store_status
InitializeStore	initialize_store
Prepare	prepare
Plan	plan
Artifact	artifact
Commit	commit
State	state
Recover	recover
Prune	prune
Checkout	checkout
Disable	disable
Enable	enable
RemoveNamespace	remove_namespace
SetHistoryRetention	set_history_retention
Pin	pin
Unpin	unpin
AddRestorePoint	add_restore_point
DropRestorePoint	drop_restore_point
Catalog	catalog
Namespace	namespace
History	history
Generation	generation
DesiredSnapshot	desired_snapshot
CanonicalTree	canonical_tree
ArtifactMetadata	artifact_metadata
CapturedInputs	captured_inputs
TransformProvenance	transform_provenance
Retention	retention
Tracking	tracking
Status	status
Fsck	fsck
