# contract	mode	schema	evidence	token	exception
schemas/cli/v1/envelope.schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/cli/v1/fixtures/golden/store-status.json	valid	schemas/cli/v1/envelope.schema.json	tests/schema_inventory.rs	-	-
schemas/cli/v1/fixtures/valid/error.json	valid	schemas/cli/v1/envelope.schema.json	tests/schema_inventory.rs	-	-
schemas/cli/v1/fixtures/malformed/unknown-field.json	invalid	schemas/cli/v1/envelope.schema.json	tests/schema_inventory.rs	-	-
schemas/cli/v1/fixtures/unsupported/version-2.json	invalid	schemas/cli/v1/envelope.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/declaration.schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/archive/v1/provenance.schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/golden/declaration.json	valid	schemas/archive/v1/declaration.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/golden/digests.txt	decoder	-	crates/malm-archive/tests/contracts.rs	golden/digests.txt	no-applicable-JSON-Schema
schemas/archive/v1/fixtures/golden/empty-ustar.hex	decoder	-	crates/malm-archive/tests/contracts.rs	golden/empty-ustar.hex	binary-archive-contract
schemas/archive/v1/fixtures/golden/provenance.json	valid	schemas/archive/v1/provenance.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/valid/declaration.json	valid	schemas/archive/v1/declaration.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/valid/provenance.json	valid	schemas/archive/v1/provenance.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/malformed/declaration-unknown-field.json	invalid	schemas/archive/v1/declaration.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/malformed/provenance-invalid-decoder.json	invalid	schemas/archive/v1/provenance.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/malformed/single-zero-block.hex	decoder	-	crates/malm-archive/tests/contracts.rs	single-zero-block.hex	binary-archive-contract
schemas/archive/v1/fixtures/unsupported/declaration-version-2.json	invalid	schemas/archive/v1/declaration.schema.json	tests/schema_inventory.rs	-	-
schemas/archive/v1/fixtures/unsupported/provenance-version-2.json	invalid	schemas/archive/v1/provenance.schema.json	tests/schema_inventory.rs	-	-
schemas/config/v1/fixtures/golden/digests.json	decoder	-	crates/malm-config/tests/rich_kdl.rs	golden/digests.json	no-normative-JSON-Schema
schemas/config/v1/fixtures/golden/rich-canonical.json	decoder	-	crates/malm-config/tests/rich_kdl.rs	golden/rich-canonical.json	no-normative-JSON-Schema
schemas/config/v1/fixtures/golden/rich-ir.json	decoder	-	crates/malm-config/tests/rich_config.rs	golden/rich-ir.json	no-normative-JSON-Schema
schemas/config/v1/fixtures/golden/rich-key-value.txt	decoder	-	crates/malm-config/tests/rich_kdl.rs	golden/rich-key-value.txt	text-transform-contract
schemas/config/v1/fixtures/golden/rich-plain-text.txt	decoder	-	crates/malm-config/tests/rich_kdl.rs	golden/rich-plain-text.txt	text-transform-contract
schemas/format-component/v1/fixtures/golden/wit.sha256	exact	-	crates/malm-format-component-api/tests/wit.rs	golden/wit.sha256	exact-interface-digest
schemas/lock/v1/schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/lock/v1/fixtures/golden/digests.json	decoder	-	crates/malm-pack/tests/contracts.rs	lock/v1/fixtures/golden/digests.json	digest-summary-not-a-lock-document
schemas/lock/v1/fixtures/valid/single-dependency.json	valid	schemas/lock/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/lock/v1/fixtures/malformed/duplicate-version.json	strict	schemas/lock/v1/schema.json	crates/malm-pack/tests/contracts.rs	duplicate-version.json	duplicate-members-not-representable-in-JSON-data-model
schemas/lock/v1/fixtures/malformed/missing-version.json	invalid	schemas/lock/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/lock/v1/fixtures/malformed/wrong-type.json	invalid	schemas/lock/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/lock/v1/fixtures/unsupported/version-2.json	invalid	schemas/lock/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/request.schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/machine/v1/server.schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/request-canonical-operations.jsonl	valid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/request-plan.jsonl	valid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/request-status.jsonl	valid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/server-error.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/server-prepared-canonical.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/server-result.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/server-started.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/golden/server-state-result.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/valid/request-initialize.jsonl	valid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/valid/request-status.jsonl	valid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/valid/server-error.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/valid/server-result.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/valid/server-started.jsonl	valid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/request-duplicate-key.jsonl	strict	schemas/machine/v1/request.schema.json	crates/malm-machine/tests/contracts.rs	request-duplicate-key.jsonl	duplicate-members-not-representable-in-JSON-data-model
schemas/machine/v1/fixtures/malformed/request-exact-state-unknown-field.jsonl	invalid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/request-nested-unknown-field.jsonl	invalid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/request-tree-provenance-duplicate-key.jsonl	strict	schemas/machine/v1/request.schema.json	crates/malm-machine/tests/contracts.rs	request-tree-provenance-duplicate-key.jsonl	duplicate-members-not-representable-in-JSON-data-model
schemas/machine/v1/fixtures/malformed/request-unknown-field.jsonl	invalid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/details-none-unknown-field.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/error-correlated-zero-sequence.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/error-missing-request-id.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/error-null-positive-sequence.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/error-shape-mismatch.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/initialize-not-ready.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/result-zero-sequence.jsonl	invalid	schemas/machine/v1/server.schema.json	tests/schema_inventory.rs	-	-
schemas/machine/v1/fixtures/malformed/unsupported-equal-versions.jsonl	strict	schemas/machine/v1/server.schema.json	crates/malm-machine/tests/contracts.rs	unsupported-equal-versions.jsonl	cross-field-version-inequality-is-semantic
schemas/machine/v1/fixtures/unsupported/version-2.jsonl	invalid	schemas/machine/v1/request.schema.json	tests/schema_inventory.rs	-	-
schemas/pack/v1/fixtures/golden/digests.json	decoder	-	crates/malm-pack/tests/contracts.rs	pack/v1/fixtures/golden/digests.json	no-normative-JSON-Schema
schemas/pack/v1/fixtures/golden/full.kdl	decoder	-	crates/malm-pack/tests/contracts.rs	golden/full.kdl	KDL-contract
schemas/root/v1/schema.json	schema	-	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/golden/descriptor.json	valid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/valid/descriptor.json	valid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/duplicate-format.json	strict	schemas/root/v1/schema.json	crates/malm-root/tests/contracts.rs	duplicate-format.json	duplicate-members-not-representable-in-JSON-data-model
schemas/root/v1/fixtures/malformed/duplicate-version.json	strict	schemas/root/v1/schema.json	crates/malm-root/tests/contracts.rs	duplicate-version.json	duplicate-members-not-representable-in-JSON-data-model
schemas/root/v1/fixtures/malformed/missing-format.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/missing-version.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/noncanonical-escape.json	strict	schemas/root/v1/schema.json	crates/malm-root/tests/contracts.rs	noncanonical-escape.json	canonical-byte-encoding-is-outside-JSON-Schema
schemas/root/v1/fixtures/malformed/noncanonical-order.json	strict	schemas/root/v1/schema.json	crates/malm-root/tests/contracts.rs	noncanonical-order.json	canonical-byte-encoding-is-outside-JSON-Schema
schemas/root/v1/fixtures/malformed/noncanonical-whitespace.json	strict	schemas/root/v1/schema.json	crates/malm-root/tests/contracts.rs	noncanonical-whitespace.json	canonical-byte-encoding-is-outside-JSON-Schema
schemas/root/v1/fixtures/malformed/truncated.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/unknown-field.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/wrong-format-type.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/wrong-top-level-type.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/malformed/wrong-version-type.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/unsupported/format.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/root/v1/fixtures/unsupported/version.json	invalid	schemas/root/v1/schema.json	tests/schema_inventory.rs	-	-
schemas/store/v1/fixtures/golden/digests.json	decoder	-	crates/malm-store/tests/contracts.rs	store/v1/fixtures/golden/digests.json	no-normative-JSON-Schema
schemas/store/v1/fixtures/golden/prepared-record.json	decoder	-	crates/malm-store/tests/contracts.rs	golden/prepared-record.json	strict-persisted-decoder-contract
schemas/store/v1/fixtures/golden/state-catalog.json	decoder	-	crates/malm-store/tests/contracts.rs	golden/state-catalog.json	strict-persisted-decoder-contract
schemas/store/v1/fixtures/golden/state-generation.json	decoder	-	crates/malm-store/tests/contracts.rs	golden/state-generation.json	strict-persisted-decoder-contract
schemas/store/v1/fixtures/golden/transaction-journal.json	decoder	-	crates/malm-commit/src/lib.rs	golden/transaction-journal.json	strict-persisted-decoder-contract
